epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,625.882,1.09902,1.24272,1.18156,0.66969,0.55209,0.61072,0.44461,1.02845,1.0646,1.09323,3.96534e-05,3.96534e-05,3.96534e-05
2,953.27,1.11385,1.30007,1.18897,0.64408,0.51225,0.56812,0.40659,1.07458,1.15451,1.12282,7.9162e-05,7.9162e-05,7.9162e-05
3,1281.61,1.13848,1.34973,1.20071,0.60375,0.51278,0.54449,0.38409,1.10235,1.2079,1.13746,0.00011804,0.00011804,0.00011804
4,1610.42,1.14104,1.3766,1.21161,0.60689,0.51405,0.5475,0.38974,1.10125,1.19928,1.14518,0.000116877,0.000116877,0.000116877
5,1939.89,1.13998,1.35269,1.20422,0.58202,0.52766,0.54699,0.38741,1.10048,1.20972,1.14797,0.000115244,0.000115244,0.000115244
6,2268.94,1.1418,1.33536,1.20507,0.58611,0.5156,0.53592,0.38012,1.10036,1.2293,1.14412,0.000113167,0.000113167,0.000113167
7,2598.2,1.12785,1.31686,1.19746,0.60946,0.50855,0.53651,0.37697,1.1138,1.22117,1.15483,0.000110662,0.000110662,0.000110662
8,2927.99,1.13192,1.3019,1.19816,0.59922,0.50822,0.53858,0.38222,1.10464,1.20091,1.14751,0.00010775,0.00010775,0.00010775
9,3258.06,1.12188,1.28472,1.19186,0.60488,0.51707,0.54084,0.38073,1.11033,1.22564,1.14835,0.000104455,0.000104455,0.000104455
10,3586.84,1.11515,1.25546,1.18762,0.60933,0.51689,0.54691,0.38557,1.10618,1.21594,1.14638,0.000100802,0.000100802,0.000100802
11,3916.27,1.10674,1.24901,1.18637,0.6083,0.52313,0.54589,0.38475,1.10528,1.21337,1.15163,9.68217e-05,9.68217e-05,9.68217e-05
12,4245.37,1.09605,1.2271,1.18042,0.64306,0.50878,0.54993,0.38823,1.10191,1.18956,1.15408,9.25456e-05,9.25456e-05,9.25456e-05
13,4574.71,1.09137,1.19996,1.17424,0.64459,0.4958,0.55038,0.38814,1.10725,1.18047,1.15156,8.80082e-05,8.80082e-05,8.80082e-05
