class_name,f1,support
giraffe,0.9637305699481865,100
zebra,0.9603960396039604,100
stop sign,0.9494949494949495,50
broccoli,0.9447236180904522,100
fire hydrant,0.922077922077922,75
airplane,0.909952606635071,100
clock,0.9035532994923858,100
mouse,0.8923076923076924,67
elephant,0.8808290155440415,100
potted plant,0.8785046728971962,100
bear,0.8613138686131386,68
parking meter,0.8607594936708861,45
traffic light,0.8571428571428571,100
refrigerator,0.8421052631578947,100
train,0.8383838383838383,100
sports ball,0.8360655737704918,60
bus,0.8341708542713567,100
horse,0.8252427184466019,100
umbrella,0.8195121951219512,100
sheep,0.8181818181818182,100
boat,0.8151658767772512,100
motorcycle,0.8148148148148148,100
frisbee,0.8130081300813008,64
toilet,0.8042328042328042,100
skis,0.8,100
kite,0.7931034482758621,100
cat,0.7926267281105991,100
tennis racket,0.7867298578199052,100
skateboard,0.783068783068783,100
banana,0.782608695652174,100
bicycle,0.78125,100
wine glass,0.7788461538461539,100
sink,0.7717391304347826,100
baseball glove,0.7662337662337663,78
teddy bear,0.7619047619047619,100
keyboard,0.7560975609756098,100
tv,0.7559808612440191,100
cow,0.7553191489361702,100
bird,0.7533632286995515,100
pizza,0.7487179487179487,100
surfboard,0.745945945945946,100
orange,0.7452830188679245,100
laptop,0.7403846153846154,100
apple,0.7357512953367875,100
dog,0.7330316742081447,100
remote,0.7176470588235294,100
donut,0.7171717171717171,100
baseball bat,0.7150259067357513,98
scissors,0.7076923076923077,26
bed,0.7064676616915423,100
vase,0.7052631578947368,100
carrot,0.7031963470319634,100
oven,0.7010309278350515,100
bottle,0.6956521739130435,100
truck,0.6948356807511737,100
car,0.694300518134715,100
microwave,0.6666666666666666,52
bench,0.6666666666666666,100
cell phone,0.6519337016574586,100
couch,0.6517857142857143,100
dining table,0.6363636363636364,100
book,0.6346153846153846,100
sandwich,0.6294416243654822,100
tie,0.6198830409356725,100
cake,0.6130653266331658,100
person,0.6122448979591837,100
toaster,0.5833333333333334,8
fork,0.5769230769230769,100
suitcase,0.5654450261780105,100
spoon,0.5591397849462365,100
toothbrush,0.5423728813559322,33
hot dog,0.5222929936305732,93
backpack,0.5188679245283019,100
cup,0.5116279069767442,100
bowl,0.49230769230769234,100
knife,0.4550898203592814,100
chair,0.38636363636363635,100
handbag,0.36097560975609755,100
snowboard,0.36,34
hair drier,0.35714285714285715,9
