,precision,recall,f1-score,support
person,0.5172413793103449,0.75,0.6122448979591837,100.0
bicycle,0.8152173913043478,0.75,0.78125,100.0
car,0.7204301075268817,0.67,0.694300518134715,100.0
motorcycle,0.7586206896551724,0.88,0.8148148148148148,100.0
airplane,0.8648648648648649,0.96,0.909952606635071,100.0
bus,0.8383838383838383,0.83,0.8341708542713567,100.0
train,0.8469387755102041,0.83,0.8383838383838383,100.0
truck,0.6548672566371682,0.74,0.6948356807511737,100.0
boat,0.7747747747747747,0.86,0.8151658767772512,100.0
traffic light,0.875,0.84,0.8571428571428571,100.0
fire hydrant,0.8987341772151899,0.9466666666666667,0.922077922077922,75.0
stop sign,0.9591836734693877,0.94,0.9494949494949495,50.0
parking meter,1.0,0.7555555555555555,0.8607594936708861,45.0
bench,0.6283185840707964,0.71,0.6666666666666666,100.0
bird,0.6829268292682927,0.84,0.7533632286995515,100.0
cat,0.7350427350427351,0.86,0.7926267281105991,100.0
dog,0.6694214876033058,0.81,0.7330316742081447,100.0
horse,0.8018867924528302,0.85,0.8252427184466019,100.0
sheep,0.826530612244898,0.81,0.8181818181818182,100.0
cow,0.8068181818181818,0.71,0.7553191489361702,100.0
elephant,0.9139784946236559,0.85,0.8808290155440415,100.0
bear,0.855072463768116,0.8676470588235294,0.8613138686131386,68.0
zebra,0.9509803921568627,0.97,0.9603960396039604,100.0
giraffe,1.0,0.93,0.9637305699481865,100.0
backpack,0.49107142857142855,0.55,0.5188679245283019,100.0
umbrella,0.8,0.84,0.8195121951219512,100.0
handbag,0.3523809523809524,0.37,0.36097560975609755,100.0
tie,0.7464788732394366,0.53,0.6198830409356725,100.0
suitcase,0.5934065934065934,0.54,0.5654450261780105,100.0
frisbee,0.847457627118644,0.78125,0.8130081300813008,64.0
skis,0.8444444444444444,0.76,0.8,100.0
snowboard,0.5625,0.2647058823529412,0.36,34.0
sports ball,0.8225806451612904,0.85,0.8360655737704918,60.0
kite,0.696969696969697,0.92,0.7931034482758621,100.0
baseball bat,0.7263157894736842,0.7040816326530612,0.7150259067357513,98.0
baseball glove,0.7763157894736842,0.7564102564102564,0.7662337662337663,78.0
skateboard,0.8314606741573034,0.74,0.783068783068783,100.0
surfboard,0.8117647058823529,0.69,0.745945945945946,100.0
tennis racket,0.7477477477477478,0.83,0.7867298578199052,100.0
bottle,0.6728971962616822,0.72,0.6956521739130435,100.0
wine glass,0.75,0.81,0.7788461538461539,100.0
cup,0.4782608695652174,0.55,0.5116279069767442,100.0
fork,0.5555555555555556,0.6,0.5769230769230769,100.0
knife,0.5671641791044776,0.38,0.4550898203592814,100.0
spoon,0.6046511627906976,0.52,0.5591397849462365,100.0
bowl,0.5052631578947369,0.48,0.49230769230769234,100.0
banana,0.7570093457943925,0.81,0.782608695652174,100.0
apple,0.7634408602150538,0.71,0.7357512953367875,100.0
sandwich,0.6391752577319587,0.62,0.6294416243654822,100.0
orange,0.7053571428571429,0.79,0.7452830188679245,100.0
broccoli,0.9494949494949495,0.94,0.9447236180904522,100.0
carrot,0.6470588235294118,0.77,0.7031963470319634,100.0
hot dog,0.640625,0.44086021505376344,0.5222929936305732,93.0
pizza,0.7684210526315789,0.73,0.7487179487179487,100.0
donut,0.7244897959183674,0.71,0.7171717171717171,100.0
cake,0.6161616161616161,0.61,0.6130653266331658,100.0
chair,0.4473684210526316,0.34,0.38636363636363635,100.0
couch,0.5887096774193549,0.73,0.6517857142857143,100.0
potted plant,0.8245614035087719,0.94,0.8785046728971962,100.0
bed,0.7029702970297029,0.71,0.7064676616915423,100.0
dining table,0.5833333333333334,0.7,0.6363636363636364,100.0
toilet,0.8539325842696629,0.76,0.8042328042328042,100.0
tv,0.7247706422018348,0.79,0.7559808612440191,100.0
laptop,0.7129629629629629,0.77,0.7403846153846154,100.0
mouse,0.9206349206349206,0.8656716417910447,0.8923076923076924,67.0
remote,0.8714285714285714,0.61,0.7176470588235294,100.0
keyboard,0.96875,0.62,0.7560975609756098,100.0
cell phone,0.7283950617283951,0.59,0.6519337016574586,100.0
microwave,0.6129032258064516,0.7307692307692307,0.6666666666666666,52.0
oven,0.723404255319149,0.68,0.7010309278350515,100.0
toaster,0.4375,0.875,0.5833333333333334,8.0
sink,0.8452380952380952,0.71,0.7717391304347826,100.0
refrigerator,0.8888888888888888,0.8,0.8421052631578947,100.0
book,0.6111111111111112,0.66,0.6346153846153846,100.0
clock,0.9175257731958762,0.89,0.9035532994923858,100.0
vase,0.7444444444444445,0.67,0.7052631578947368,100.0
scissors,0.5897435897435898,0.8846153846153846,0.7076923076923077,26.0
teddy bear,0.8089887640449438,0.72,0.7619047619047619,100.0
hair drier,0.2631578947368421,0.5555555555555556,0.35714285714285715,9.0
toothbrush,0.6153846153846154,0.48484848484848486,0.5423728813559322,33.0
accuracy,0.7304407713498623,0.7304407713498623,0.7304407713498623,0.7304407713498623
macro avg,0.7297157871090013,0.7295454695636934,0.7230811222256088,7260.0
weighted avg,0.7372609249428347,0.7304407713498623,0.7292676681457275,7260.0
