image_id,file_name,gt,pred,tp,fp,fn,mean_conf
139,000000000139.jpg,20,15,10,5,10,0.5257980823516846
285,000000000285.jpg,1,1,1,0,0,0.892872154712677
632,000000000632.jpg,17,10,5,5,12,0.5783933401107788
724,000000000724.jpg,4,3,2,1,2,0.802765429019928
776,000000000776.jpg,4,3,2,1,2,0.6528385877609253
785,000000000785.jpg,2,4,2,2,0,0.5145110487937927
802,000000000802.jpg,2,2,2,0,0,0.9379564523696899
872,000000000872.jpg,4,6,3,3,1,0.5381526350975037
885,000000000885.jpg,9,10,7,3,2,0.5257912874221802
1000,000000001000.jpg,17,17,13,4,4,0.6778847575187683
1268,000000001268.jpg,11,9,8,1,3,0.6383342742919922
1296,000000001296.jpg,4,5,3,2,1,0.46477657556533813
1353,000000001353.jpg,7,6,2,4,5,0.5050796270370483
1425,000000001425.jpg,2,3,2,1,0,0.49467337131500244
1490,000000001490.jpg,2,1,1,0,1,0.8966813087463379
1503,000000001503.jpg,5,5,4,1,1,0.8802959322929382
1532,000000001532.jpg,8,9,5,4,3,0.5932875871658325
1584,000000001584.jpg,14,8,8,0,6,0.6371723413467407
1675,000000001675.jpg,2,3,1,2,1,0.43753454089164734
1761,000000001761.jpg,7,2,2,0,5,0.8812248706817627
1818,000000001818.jpg,2,3,2,1,0,0.6519395709037781
1993,000000001993.jpg,4,4,3,1,1,0.6773867607116699
2006,000000002006.jpg,8,5,4,1,4,0.6520416140556335
2149,000000002149.jpg,2,10,1,9,1,0.626888632774353
2153,000000002153.jpg,5,6,5,1,0,0.6851575374603271
2157,000000002157.jpg,16,20,9,11,7,0.6123358607292175
2261,000000002261.jpg,2,1,1,0,1,0.706445038318634
2299,000000002299.jpg,22,17,10,7,12,0.4253958463668823
2431,000000002431.jpg,9,12,7,5,2,0.5938625335693359
2473,000000002473.jpg,5,5,5,0,0,0.7627246975898743
2532,000000002532.jpg,2,2,2,0,0,0.7698712348937988
2587,000000002587.jpg,2,1,1,0,1,0.6739345788955688
2592,000000002592.jpg,3,3,2,1,1,0.6830410361289978
2685,000000002685.jpg,19,9,6,3,13,0.5977964997291565
2923,000000002923.jpg,7,3,2,1,5,0.6415045857429504
3156,000000003156.jpg,3,3,2,1,1,0.6419926285743713
3255,000000003255.jpg,10,8,5,3,5,0.5588812232017517
3501,000000003501.jpg,3,3,3,0,0,0.5011858344078064
3553,000000003553.jpg,2,3,2,1,0,0.6213460564613342
3661,000000003661.jpg,3,6,2,4,1,0.4923960268497467
3845,000000003845.jpg,12,14,9,5,3,0.5138505697250366
3934,000000003934.jpg,14,10,9,1,5,0.6125126481056213
4134,000000004134.jpg,26,25,14,11,12,0.5612018704414368
4395,000000004395.jpg,2,5,2,3,0,0.5144295692443848
4495,000000004495.jpg,3,3,3,0,0,0.9244450926780701
4765,000000004765.jpg,2,2,2,0,0,0.8079040050506592
4795,000000004795.jpg,3,5,2,3,1,0.6668131947517395
5001,000000005001.jpg,17,21,10,11,7,0.5147423148155212
5037,000000005037.jpg,10,10,8,2,2,0.5050646066665649
5060,000000005060.jpg,2,1,1,0,1,0.902400553226471
5193,000000005193.jpg,9,21,7,14,2,0.6141535639762878
5477,000000005477.jpg,2,3,2,1,0,0.5371337532997131
5503,000000005503.jpg,1,3,1,2,0,0.4932459890842438
5529,000000005529.jpg,2,3,2,1,0,0.6208402514457703
5586,000000005586.jpg,14,6,5,1,9,0.6102609634399414
5600,000000005600.jpg,3,8,1,7,2,0.5803046226501465
5992,000000005992.jpg,5,5,5,0,0,0.919888973236084
6012,000000006012.jpg,2,5,2,3,0,0.6032391786575317
6040,000000006040.jpg,12,7,5,2,7,0.4178544878959656
6213,000000006213.jpg,2,2,1,1,1,0.31268084049224854
6460,000000006460.jpg,2,4,2,2,0,0.3817014992237091
6471,000000006471.jpg,16,14,11,3,5,0.6715229153633118
6614,000000006614.jpg,2,9,1,8,1,0.5451940894126892
6723,000000006723.jpg,6,6,4,2,2,0.61375492811203
6763,000000006763.jpg,7,7,4,3,3,0.42399224638938904
6771,000000006771.jpg,9,11,9,2,0,0.6359115242958069
6818,000000006818.jpg,1,1,1,0,0,0.9209452271461487
6894,000000006894.jpg,2,4,2,2,0,0.46882009506225586
6954,000000006954.jpg,7,9,7,2,0,0.7542475461959839
7088,000000007088.jpg,4,4,3,1,1,0.558057963848114
7108,000000007108.jpg,5,5,5,0,0,0.6978158950805664
7278,000000007278.jpg,2,1,1,0,1,0.6767311096191406
7281,000000007281.jpg,12,10,8,2,4,0.6105247735977173
7386,000000007386.jpg,5,3,2,1,3,0.6270776391029358
7511,000000007511.jpg,16,11,6,5,10,0.507669985294342
7574,000000007574.jpg,12,17,8,9,4,0.5569567680358887
7784,000000007784.jpg,1,1,1,0,0,0.9507287740707397
7795,000000007795.jpg,4,2,2,0,2,0.9066852331161499
7816,000000007816.jpg,11,12,8,4,3,0.5972748398780823
7818,000000007818.jpg,11,7,5,2,6,0.5737005472183228
7888,000000007888.jpg,2,2,2,0,0,0.938188910484314
7977,000000007977.jpg,6,6,3,3,3,0.5116896033287048
7991,000000007991.jpg,3,6,2,4,1,0.4963931143283844
8021,000000008021.jpg,7,7,4,3,3,0.6633701324462891
8211,000000008211.jpg,6,4,3,1,3,0.8996482491493225
8277,000000008277.jpg,13,3,3,0,10,0.5980797410011292
8532,000000008532.jpg,2,2,2,0,0,0.9125463962554932
8629,000000008629.jpg,7,7,5,2,2,0.5470708012580872
8690,000000008690.jpg,5,5,2,3,3,0.5670868158340454
8762,000000008762.jpg,7,7,5,2,2,0.6210930943489075
8844,000000008844.jpg,7,5,4,1,3,0.6906661987304688
8899,000000008899.jpg,2,1,1,0,1,0.9348872900009155
9378,000000009378.jpg,10,7,6,1,4,0.6298739314079285
9400,000000009400.jpg,24,29,16,13,8,0.5725573897361755
9448,000000009448.jpg,2,2,2,0,0,0.8928172588348389
9483,000000009483.jpg,6,10,4,6,2,0.5925028324127197
9590,000000009590.jpg,29,15,13,2,16,0.665886640548706
9769,000000009769.jpg,5,3,3,0,2,0.8148687481880188
9772,000000009772.jpg,4,5,4,1,0,0.6463907957077026
9891,000000009891.jpg,13,9,6,3,7,0.6937486529350281
9914,000000009914.jpg,7,7,5,2,2,0.6897240877151489
10092,000000010092.jpg,5,3,3,0,2,0.5143510103225708
10363,000000010363.jpg,4,5,2,3,2,0.5668260455131531
10583,000000010583.jpg,4,4,3,1,1,0.5183793306350708
10707,000000010707.jpg,15,15,10,5,5,0.5999086499214172
10764,000000010764.jpg,2,2,2,0,0,0.8993909358978271
